id,name,party,option_code,color,,,,
5462abf7a87408609940f007,Joe McHugh,Fine Gael,1,blue,,,,
5462abe2a87408609940eaf7,Tony McLoughlin,Fine Gael,1,blue,,,,
5462abf3a87408609940ef19,Mary Mitchell O'Connor,Fine Gael,1,blue,,,,
5462abf0a87408609940ee75,Michael Ring,Fine Gael,1,blue,,,,
5462abf3a87408609940ef33,Helen McEntee,Fine Gael,1,blue,,,,
5462abe2a87408609940eb33,Hildegarde Naughton,Fine Gael,1,blue,,,,
5462abdfa87408609940ea4f,Tom Neville,Fine Gael,1,blue,,,,
5462abeaa87408609940ed25,Peter Fitzpatrick (no vote),Fine Gael,0,blue,,,,
5462abeaa87408609940eceb,Kate O'Connell,Fine Gael,1,blue,,,,
5462abe0a87408609940ea79,Martin Heydon (no vote),Fine Gael,0,blue,,,,
5462abfaa87408609940f08f,David Stanton,Fine Gael,1,blue,,,,
5462abe4a87408609940eb99,John Paul Phelan,Fine Gael,1,blue,,,,
5462abf6a87408609940efd1,Dara Murphy (no vote),Fine Gael,0,blue,,,,
5462abe7a87408609940ec59,Paul Kehoe (no vote),Fine Gael,0,blue,,,,
5462abe9a87408609940ecb7,Fergus O'Dowd (no vote),Fine Gael,0,blue,,,,
5462abe1a87408609940eadb,Michael Creed,Fine Gael,1,blue,,,,
5462abe7a87408609940ec43,Tommy Broughan,Independent,1,cyan,,,,
5462abeca87408609940ed75,Sean Canney,Independent,1,cyan,,,,
5462abe2a87408609940eb0f,Danny Healy-Rae,Independent,-1,cyan,,,,
5462abe2a87408609940eb27,Michael Collins,Independent,-1,cyan,,,,
5462abfaa87408609940f0a7,Joan Collins,Independent,1,cyan,,,,
5462abe2a87408609940eafd,Mattie McGrath,Independent,-1,cyan,,,,
5462abf8a87408609940f02b,Mick Wallace,Independent,-1,cyan,,,,
5462abeea87408609940edf1,Finian McGrath,Independent,1,cyan,,,,
5462abe5a87408609940ebbd,Noel Grealish,Independent,-1,cyan,,,,
5462abe8a87408609940ec89,Maureen O'Sullivan,Independent,1,cyan,,,,
5462abe2a87408609940eb23,Michael Harty,Independent,-1,cyan,,,,
5462abe0a87408609940ea95,Michael Healy-Rae,Independent,-1,cyan,,,,
5462abe7a87408609940ec5b,Katherine Zappone,Independent,1,cyan,,,,
5462abf4a87408609940ef6b,John Halligan (no vote),Independent,0,cyan,,,,
5462abdfa87408609940ea1b,Clare Daly,Independent,-1,cyan,,,,
5462abf2a87408609940eee7,Kevin  Moran,Independent,1,cyan,,,,
5462abf3a87408609940ef27,Thomas Pringle,Independent,-1,cyan,,,,
5462abeca87408609940ed6b,Catherine Connolly,Independent,-1,cyan,Danny Healy-Rae,Independent,-1,cyan
5462abeba87408609940ed2f,Denis Naughten,Independent,1,cyan,,,,
5462abf0a87408609940ee93,Shane Ross (no vote),Independent,0,cyan,,,,
5462abf7a87408609940f005,Michael Fitzmaurice,Independent,-1,cyan,Michael Fitzmaurice,Independent,-1,cyan
5462abeaa87408609940ed19,Michael Lowry,Independent,-1,cyan,,,,
5462abf1a87408609940eead,Seamus Healy,Workers and Unemployed Action Group,-1,orange,,,,
5462abf7a87408609940f00b,Mick Barry,Solidarity,-1,pink,,,,
5462abdfa87408609940ea37,Gino Kenny,People Before Profit Alliance,-1,yellow,,,,
5462abe2a87408609940eb11,Brendan Howlin,Labour,1,red,,,,
5462abf8a87408609940f045,Sean Sherlock,Labour,1,red,,,,
5462abe3a87408609940eb49,Jan O'Sullivan,Labour,1,red,,,,
5462abeca87408609940ed9d,Brendan  Ryan,Labour,1,red,,,,
5462abf1a87408609940ee9f,Joan Burton (no vote),Labour,0,red,,,,
5462abe6a87408609940ec0f,Willie Penrose (no vote),Labour,0,red,,,,
5462abe5a87408609940ebc5,Alan Kelly,Labour,1,red,,,,
5462abeda87408609940edb7,Richard Boyd Barrett,People Before Profit Alliance,-1,yellow,,,,
5462abe2a87408609940eaf5,Ruth Coppinger,Solidarity,-1,pink,,,,
5462abf9a87408609940f081,Eamon Ryan,Green Party,1,violet,,,,
5462abf7a87408609940efff,Catherine Martin,Green Party,1,violet,,,,
5462abeca87408609940ed89,Catherine Murphy,Social Democrats,0,darkviolet,Catherine Murphy,Social Democrats,0,darkviolet
5462abeba87408609940ed63,Brid Smith,People Before Profit Alliance,-1,yellow,Brid Smith,People Before Profit Alliance,-1,yellow
5462abf4a87408609940ef6f,Paul Murphy (no vote),Solidarity,0,pink,Paul Murphy (no vote),Solidarity,0,pink
5462abe9a87408609940eccd,Roisin Shortall,Social Democrats,0,darkviolet,Roisin Shortall,Social Democrats,0,darkviolet
5462abe8a87408609940ec95,Louise O'Reilly,Sinn Fein,0,lightgreen,Louise O'Reilly,Sinn Fein,0,lightgreen
5462abe3a87408609940eb4f,Caoimhghin o Caolain,Sinn Fein,0,lightgreen,,,,
5462abe7a87408609940ec57,Donnchadh o Laoghaire,Sinn Fein,0,lightgreen,,,,
5462abf3a87408609940ef31,Aengus o Snodaigh,Sinn Fein,0,lightgreen,,,,
5462abf9a87408609940f067,Martin Ferris,Sinn Fein,0,lightgreen,,,,
5462abe6a87408609940ebe9,John Brady,Sinn Fein,0,lightgreen,,,,
5462abe6a87408609940ebf7,Mary Lou McDonald,Sinn Fein,0,lightgreen,,,,
5462abe8a87408609940ec71,Sean Crowe,Sinn Fein,0,lightgreen,,,,
5462abf4a87408609940ef51,David Cullinane,Sinn Fein,0,lightgreen,,,,
5462abdfa87408609940ea1f,Pearse Doherty,Sinn Fein,0,lightgreen,,,,
5462abeca87408609940ed6d,Dessie Ellis,Sinn Fein,0,lightgreen,,,,
5462abdfa87408609940ea4b,Gerry Adams (no vote),Sinn Fein,0,lightgreen,Gerry Adams (no vote),Sinn Fein,0,lightgreen
5462abf0a87408609940ee91,Kathleen Funchion,Sinn Fein,0,lightgreen,,,,
5462abf2a87408609940ef03,Martin Kenny (no vote),Sinn Fein,0,lightgreen,,,,
5462abf6a87408609940efb7,Pat Buckley,Sinn Fein,0,lightgreen,Pat Buckley,Sinn Fein,0,lightgreen
5462abe9a87408609940ecc1,Denise Mitchell,Sinn Fein,0,lightgreen,,,,
5462abeca87408609940ed7d,Imelda Munster,Sinn Fein,0,lightgreen,,,,
5462abf1a87408609940eecf,Carol Nolan,Sinn Fein,0,lightgreen,,,,
5462abe7a87408609940ec35,Jonathan O'Brien (no vote),Sinn Fein,0,lightgreen,,,,
5462abe9a87408609940eccb,Eoin o Broin,Sinn Fein,0,lightgreen,,,,
5462abf0a87408609940ee85,Maurice Quinlivan,Sinn Fein,0,lightgreen,,,,
5462abf6a87408609940efd7,Brian Stanley,Sinn Fein,0,lightgreen,,,,
5462abefa87408609940ee33,Peadar Toibin,Sinn Fein,0,lightgreen,,,,
5462abe1a87408609940eabd,Eamon o Cuiv (no vote),Fianna Fail,0,darkgreen,,,,
5462abe8a87408609940ec9b,Bobby Aylward,Fianna Fail,0,darkgreen,,,,
5462abeaa87408609940ecfd,John Brassil,Fianna Fail,0,darkgreen,,,,
5462abeca87408609940ed91,Declan Breathnach (no vote),Fianna Fail,0,darkgreen,,,,
5462abf2a87408609940ef01,James Browne,Fianna Fail,0,darkgreen,,,,
5462abf8a87408609940f02f,Mary Butler,Fianna Fail,0,darkgreen,,,,
5462abf8a87408609940f043,Thomas Byrne,Fianna Fail,0,darkgreen,,,,
5462abf8a87408609940f04d,Jackie Cahill,Fianna Fail,0,darkgreen,,,,
5462abeaa87408609940ecf1,Dara Calleary,Fianna Fail,0,darkgreen,,,,
5462abeda87408609940ede5,Pat Casey,Fianna Fail,0,darkgreen,,,,
5462abeba87408609940ed41,Stephen Donnelly,Fianna Fail,0,darkgreen,,,,
5462abe5a87408609940ebab,Jack Chambers,Fianna Fail,0,darkgreen,,,,
5462abe9a87408609940ecd1,Lisa Chambers,Fianna Fail,0,darkgreen,,,,
5462abeea87408609940eded,Niall Collins,Fianna Fail,0,darkgreen,,,,
5462abe5a87408609940ebd9,Barry Cowen,Fianna Fail,0,darkgreen,,,,
5462abe6a87408609940ec03,John Curran,Fianna Fail,0,darkgreen,,,,
5462abfaa87408609940f0a9,Shane Cassells,Fianna Fail,0,darkgreen,,,,
5462abe9a87408609940ecb3,Timmy Dooley (no vote),Fianna Fail,0,darkgreen,Shane Cassells,Fianna Fail,0,darkgreen
5462abe4a87408609940eb7b,Sean Fleming,Fianna Fail,0,darkgreen,,,,
5462abeea87408609940ee13,Pat Gallagher,Fianna Fail,0,darkgreen,,,,
5462abe4a87408609940eb81,Sean Haughey,Fianna Fail,0,darkgreen,,,,
5462abefa87408609940ee27,Billy Kelleher,Fianna Fail,0,darkgreen,,,,
5462abf7a87408609940effd,John Lahart,Fianna Fail,0,darkgreen,,,,
5462abe6a87408609940ec01,James Lawless,Fianna Fail,0,darkgreen,,,,
5462abe7a87408609940ec39,Marc MacSharry,Fianna Fail,0,darkgreen,,,,
5462abf4a87408609940ef4b,Margaret Murphy O'Mahony,Fianna Fail,0,darkgreen,,,,
5462abeba87408609940ed2d,Charlie McConalogue,Fianna Fail,0,darkgreen,,,,
5462abf2a87408609940eeeb,Michael McGrath,Fianna Fail,0,darkgreen,,,,
5462abe1a87408609940eaeb,John McGuinness,Fianna Fail,0,darkgreen,,,,
5462abefa87408609940ee49,Aindrias Moynihan,Fianna Fail,0,darkgreen,,,,
5462abe4a87408609940eb9f,Michael Moynihan,Fianna Fail,0,darkgreen,,,,
5462abeaa87408609940ecfb,Eugene Murphy,Fianna Fail,0,darkgreen,,,,
5462abe0a87408609940ea93,Michael Martin,Fianna Fail,0,darkgreen,Michael Martin,Fianna Fail,0,darkgreen
5462abe4a87408609940eb83,Darragh O'Brien,Fianna Fail,0,darkgreen,,,,
5462abe0a87408609940ea91,Jim O'Callaghan (no vote),Fianna Fail,0,darkgreen,,,,
5462abeaa87408609940ed0f,Willie O'Dea,Fianna Fail,0,darkgreen,,,,
5462abe4a87408609940eb87,Kevin O'Keeffe,Fianna Fail,0,darkgreen,,,,
5462abeaa87408609940ed21,Fiona O'Loughlin,Fianna Fail,0,darkgreen,,,,
5462abf9a87408609940f077,Frank O'Rourke,Fianna Fail,0,darkgreen,,,,
5462abe3a87408609940eb47,Anne Rabbitte,Fianna Fail,0,darkgreen,,,,
5462abf2a87408609940eee3,Eamon Scanlon,Fianna Fail,0,darkgreen,,,,
5462abf3a87408609940ef1b,Brendan Smith,Fianna Fail,0,darkgreen,,,,
5462abf9a87408609940f069,Niamh Smyth,Fianna Fail,0,darkgreen,,,,
5462abf6a87408609940efdb,Robert Troy,Fianna Fail,0,darkgreen,,,,
